update,timesteps,episodes,seeker_reward_mean,seeker_reward_std,hider_reward_mean,hider_reward_std,episode_length_mean,seeker_win_rate,hider_win_rate,seeker_policy_loss,seeker_value_loss,hider_policy_loss,hider_value_loss,fps,time_elapsed
140,286720,2674,9.61634080018749,3.302276131230268,-9.538191829875428,3.30087621336253,15.629787234042553,0.8541510845175767,0.14584891548242335,0.012807300314307213,0.4788456857204437,-0.0019911369308829308,0.5366063117980957,217.55343689023078,1317.929075717926
150,307200,2908,9.484224573401615,3.630993330997046,-9.409502346611893,3.6336277856022328,14.944444444444445,0.8617606602475929,0.13823933975240715,0.0460401214659214,0.4521785378456116,-0.004464797209948301,0.515438437461853,217.53566798571242,1412.1822082996368
160,327680,3112,9.110509852274987,4.284787284441475,-9.036661826119776,4.285806044293261,14.769607843137255,0.8660025706940874,0.1339974293059126,-1.9980594515800476e-05,0.33219462633132935,-0.009981612674891949,0.3789812922477722,217.86154383038757,1504.0745339393616
170,348160,3316,8.880065442864126,4.648782044232309,-8.796413464268541,4.650932922904107,16.730392156862745,0.8688178528347407,0.13118214716525936,-0.009338232688605785,0.4820573925971985,-0.0050343917682766914,0.6011812090873718,217.9511600456214,1597.422101020813
180,368640,3496,8.364947617695563,5.3952666262574285,-8.284808742674068,5.394084673894073,16.02777777777778,0.869279176201373,0.130720823798627,0.007994195446372032,0.13844972848892212,-0.00836985744535923,0.14795029163360596,218.1009603270414,1690.226395368576
190,389120,3665,6.4989070794118025,6.96584144535757,-6.428966248245392,6.9594987974199345,13.988165680473372,0.8643929058663029,0.13560709413369715,-0.0029151123017072678,0.21471145749092102,-0.008844276890158653,0.2661879062652588,218.55514842526048,1780.4201951026917
200,409600,3807,1.4554737348480045,8.195245600454516,-1.3786427602237483,8.193966685313654,15.366197183098592,0.8492251116364592,0.15077488836354083,-0.011599959805607796,0.1897134780883789,-0.0070180026814341545,0.2488011121749878,219.11508285546978,1869.3373119831085
210,430080,3942,0.21992018697438417,7.978823460682438,-0.14299425498616916,7.9880811642181975,15.385185185185184,0.8333333333333334,0.16666666666666666,-0.0119845662266016,0.24923300743103027,-0.00816489476710558,0.2974672317504883,219.62674277107604,1958.2314729690552
220,450560,4083,0.24325631969568737,7.98564788407375,-0.16063220909935363,7.978865240256842,16.52482269503546,0.8177810433504776,0.18221895664952242,0.02422930672764778,0.13124440610408783,-0.005635804496705532,0.17092666029930115,219.96554563030443,2048.3207890987396
230,471040,4242,3.2127292331267125,8.072311912344956,-3.1399304595565036,8.074148217763089,14.559748427672956,0.8083451202263083,0.19165487977369167,0.02805866114795208,0.28704434633255005,0.007102216128259897,0.3362352252006531,219.92955678464727,2141.7766983509064
240,491520,4395,3.897336826079945,7.974027094691562,-3.8212583960076563,7.978406975126702,15.215686274509803,0.8013651877133106,0.19863481228668942,0.004314047284424305,0.21585820615291595,-0.003380281152203679,0.24114271998405457,219.87951608681158,2235.4060475826263
