seeker_id,hider_id,seeker_reward,seeker_A,seeker_seed,seeker_source,hider_reward,hider_A,hider_seed,hider_source,n,wins,wr,ci_lo,ci_hi,stage_reached,self_pair
3,22,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.5,3,grid,100,8,0.08,0.041093461484380624,0.14998107700948735,3,0
3,23,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.5,4,grid,100,7,0.07,0.03431926106727268,0.137495147390735,3,0
3,24,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.5,5,grid,100,40,0.4,0.3094012864324589,0.4979974132089382,3,0
3,25,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.5,6,grid,100,5,0.05,0.02154367915436796,0.11175046923191913,3,0
3,26,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.5,7,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
3,27,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.5,8,grid,100,15,0.15,0.09305985283656631,0.23283559590832364,3,0
3,28,R4_sparse,0.0,3,grid,R4_sparse,0.0,42,anchor,100,9,0.09,0.04807254000256516,0.1622621285271631,3,0
3,29,R4_sparse,0.0,3,grid,R4_sparse,0.5,42,anchor,100,15,0.15,0.09305985283656631,0.23283559590832364,3,0
3,30,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.0,42,anchor,100,15,0.15,0.09305985283656631,0.23283559590832364,3,0
3,31,R4_sparse,0.0,3,grid,R7_kitchen_sink,0.5,42,anchor,100,98,0.98,0.929988209271456,0.9944980324498376,3,0
4,0,R4_sparse,0.0,4,grid,R4_sparse,0.0,0,grid,100,9,0.09,0.04807254000256516,0.1622621285271631,3,0
4,1,R4_sparse,0.0,4,grid,R4_sparse,0.0,1,grid,100,14,0.14,0.08526343659939135,0.22137188210963837,3,0
4,2,R4_sparse,0.0,4,grid,R4_sparse,0.0,2,grid,100,19,0.19,0.12514751509768735,0.27778845379064376,3,0
4,3,R4_sparse,0.0,4,grid,R4_sparse,0.0,3,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
4,4,R4_sparse,0.0,4,grid,R4_sparse,0.0,4,grid,100,14,0.14,0.08526343659939135,0.22137188210963837,3,1
4,5,R4_sparse,0.0,4,grid,R4_sparse,0.5,0,grid,100,27,0.27,0.1926958414957634,0.36432116767944994,3,0
4,6,R4_sparse,0.0,4,grid,R4_sparse,0.5,1,grid,100,59,0.59,0.4920143005341078,0.6813268697886348,3,0
4,7,R4_sparse,0.0,4,grid,R4_sparse,0.5,2,grid,100,19,0.19,0.12514751509768735,0.27778845379064376,3,0
4,8,R4_sparse,0.0,4,grid,R4_sparse,0.5,3,grid,100,14,0.14,0.08526343659939135,0.22137188210963837,3,0
4,9,R4_sparse,0.0,4,grid,R4_sparse,0.5,4,grid,100,84,0.84,0.7557973061072976,0.8990471151119521,3,0
4,10,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.0,0,grid,100,13,0.13,0.07757167427240512,0.20980351440076428,3,0
4,11,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.0,1,grid,100,51,0.51,0.4134801193402717,0.6057800106955886,3,0
4,12,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.0,2,grid,100,61,0.61,0.5120301704584073,0.6998312599360558,3,0
4,13,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.0,3,grid,100,72,0.72,0.6251197129007884,0.7986031478881379,3,0
4,14,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.0,4,grid,100,14,0.14,0.08526343659939135,0.22137188210963837,3,0
4,15,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.0,5,grid,100,9,0.09,0.04807254000256516,0.1622621285271631,3,0
4,16,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.0,6,grid,100,80,0.8,0.7111708344068411,0.8666330666689676,3,0
4,17,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.0,7,grid,100,72,0.72,0.6251197129007884,0.7986031478881379,3,0
4,18,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.0,8,grid,100,15,0.15,0.09305985283656631,0.23283559590832364,3,0
4,19,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.5,0,grid,100,25,0.25,0.17545211362287674,0.34304463548061603,3,0
4,20,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.5,1,grid,100,21,0.21,0.14165654061915303,0.29979968834089865,3,0
4,21,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.5,2,grid,100,58,0.58,0.4820648670304296,0.6720161732564526,3,0
4,22,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.5,3,grid,100,50,0.5,0.4038315303659956,0.5961684696340044,3,0
4,23,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.5,4,grid,100,72,0.72,0.6251197129007884,0.7986031478881379,3,0
4,24,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.5,5,grid,100,50,0.5,0.4038315303659956,0.5961684696340044,3,0
4,25,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.5,6,grid,100,25,0.25,0.17545211362287674,0.34304463548061603,3,0
