run_id,reward,A,seed,anchor_wr,own_wr,label
R7_kitchen_sink_A50_s15,R7_kitchen_sink,0.5,15,1.0,1.0,healthy
R7_kitchen_sink_A50_s16,R7_kitchen_sink,0.5,16,0.775,1.0,healthy
R7_kitchen_sink_A50_s17,R7_kitchen_sink,0.5,17,1.0,1.0,healthy
R7_kitchen_sink_A50_s18,R7_kitchen_sink,0.5,18,0.4833333333333333,1.0,over-specialization
R7_kitchen_sink_A50_s19,R7_kitchen_sink,0.5,19,0.9833333333333333,1.0,healthy
R7_kitchen_sink_A50_s2,R7_kitchen_sink,0.5,2,1.0,1.0,healthy
R7_kitchen_sink_A50_s3,R7_kitchen_sink,0.5,3,0.9083333333333333,1.0,healthy
R7_kitchen_sink_A50_s4,R7_kitchen_sink,0.5,4,0.5083333333333333,0.8666666666666667,healthy
R7_kitchen_sink_A50_s5,R7_kitchen_sink,0.5,5,1.0,1.0,healthy
R7_kitchen_sink_A50_s6,R7_kitchen_sink,0.5,6,0.5583333333333333,0.8333333333333334,healthy
R7_kitchen_sink_A50_s7,R7_kitchen_sink,0.5,7,0.975,1.0,healthy
R7_kitchen_sink_A50_s8,R7_kitchen_sink,0.5,8,0.5,0.0666666666666666,healthy
R7_kitchen_sink_A50_s9,R7_kitchen_sink,0.5,9,0.8916666666666667,1.0,healthy
R7_kitchen_sink_A5_s0,R7_kitchen_sink,0.05,0,0.9666666666666667,1.0,healthy
R7_kitchen_sink_A5_s1,R7_kitchen_sink,0.05,1,0.8166666666666665,1.0,healthy
R7_kitchen_sink_A5_s2,R7_kitchen_sink,0.05,2,0.22499999999999998,0.2,basin
R7_kitchen_sink_A5_s3,R7_kitchen_sink,0.05,3,0.14166666666666664,0.9666666666666668,over-specialization
R7_kitchen_sink_A5_s4,R7_kitchen_sink,0.05,4,0.55,1.0,healthy
R7_kitchen_sink_A5_s5,R7_kitchen_sink,0.05,5,0.6583333333333332,1.0,healthy
R7_kitchen_sink_A5_s6,R7_kitchen_sink,0.05,6,0.4583333333333333,1.0,over-specialization
R7_kitchen_sink_A5_s7,R7_kitchen_sink,0.05,7,1.0,1.0,healthy
R7_kitchen_sink_A5_s8,R7_kitchen_sink,0.05,8,0.31666666666666665,1.0,over-specialization
R7_kitchen_sink_A5_s9,R7_kitchen_sink,0.05,9,0.1333333333333333,0.2,basin
R7_kitchen_sink_gaefix_A0_s0,R7_kitchen_sink_gaefix,0.0,0,1.0,1.0,healthy
R7_kitchen_sink_gaefix_A0_s1,R7_kitchen_sink_gaefix,0.0,1,0.40833333333333327,0.9666666666666668,over-specialization
R7_kitchen_sink_gaefix_A0_s2,R7_kitchen_sink_gaefix,0.0,2,0.5083333333333333,0.0666666666666666,healthy
R7_kitchen_sink_gaefix_A0_s3,R7_kitchen_sink_gaefix,0.0,3,0.4333333333333333,1.0,over-specialization
R7_kitchen_sink_gaefix_A0_s4,R7_kitchen_sink_gaefix,0.0,4,1.0,1.0,healthy
R7_no_cov_urg_A0_s0,R7_no_cov_urg,0.0,0,0.6583333333333332,1.0,healthy
R7_no_cov_urg_A0_s1,R7_no_cov_urg,0.0,1,0.8,1.0,healthy
R7_no_cov_urg_A0_s2,R7_no_cov_urg,0.0,2,0.5833333333333334,0.1333333333333333,healthy
R7_no_cov_urg_A0_s3,R7_no_cov_urg,0.0,3,0.775,1.0,healthy
R7_no_cov_urg_A0_s4,R7_no_cov_urg,0.0,4,0.44166666666666665,0.8,over-specialization
R7_no_cov_urg_A0_s5,R7_no_cov_urg,0.0,5,0.9416666666666667,1.0,healthy
R7_no_cov_urg_A0_s6,R7_no_cov_urg,0.0,6,0.7583333333333333,0.9666666666666668,healthy
R7_no_cov_urg_A0_s7,R7_no_cov_urg,0.0,7,0.575,1.0,healthy
R7_no_cov_urg_A0_s8,R7_no_cov_urg,0.0,8,0.5583333333333333,1.0,healthy
R7_no_cov_urg_A0_s9,R7_no_cov_urg,0.0,9,0.8333333333333334,1.0,healthy
R7_no_coverage_A0_s0,R7_no_coverage,0.0,0,0.6166666666666666,1.0,healthy
R7_no_coverage_A0_s1,R7_no_coverage,0.0,1,0.9583333333333334,1.0,healthy
R7_no_coverage_A0_s2,R7_no_coverage,0.0,2,1.0,1.0,healthy
R7_no_coverage_A0_s3,R7_no_coverage,0.0,3,0.9083333333333333,1.0,healthy
R7_no_coverage_A0_s4,R7_no_coverage,0.0,4,0.8083333333333333,1.0,healthy
R7_no_coverage_A0_s5,R7_no_coverage,0.0,5,0.5583333333333333,1.0,healthy
R7_no_coverage_A0_s6,R7_no_coverage,0.0,6,0.7333333333333333,0.9666666666666668,healthy
R7_no_coverage_A0_s7,R7_no_coverage,0.0,7,0.8916666666666666,0.8666666666666667,healthy
R7_no_coverage_A0_s8,R7_no_coverage,0.0,8,1.0,0.9666666666666668,healthy
R7_no_coverage_A0_s9,R7_no_coverage,0.0,9,0.75,1.0,healthy
R7_no_coverage_A50_s0,R7_no_coverage,0.5,0,0.8166666666666667,1.0,healthy
R7_no_coverage_A50_s1,R7_no_coverage,0.5,1,0.9333333333333333,1.0,healthy
R7_no_coverage_A50_s2,R7_no_coverage,0.5,2,1.0,1.0,healthy
R7_no_coverage_A50_s3,R7_no_coverage,0.5,3,0.95,1.0,healthy
R7_no_coverage_A50_s4,R7_no_coverage,0.5,4,0.9833333333333334,1.0,healthy
