reward,A,seed,opponent,wr,wins,episodes,mean_path_len,mean_dist
R7_kitchen_sink,0.0,8,anchor_R7_A00,0.1,3,30,38.8802490234375,13.203226981639862
R7_kitchen_sink,0.0,8,anchor_R7_A50,1.0,30,30,27.02627944946289,7.231097321171664
R7_kitchen_sink,0.0,8,own,1.0,30,30,19.81270217895508,4.974434363145496
R7_kitchen_sink,0.5,0,anchor_R4_A00,1.0,30,30,30.1964168548584,6.689904154883329
R7_kitchen_sink,0.5,0,anchor_R4_A50,1.0,30,30,16.054319381713867,4.368322392041238
R7_kitchen_sink,0.5,0,anchor_R7_A00,1.0,30,30,22.937902450561523,6.516046743898845
R7_kitchen_sink,0.5,0,anchor_R7_A50,1.0,30,30,25.46206283569336,6.0536595313765975
R7_kitchen_sink,0.5,0,own,1.0,30,30,20.735239028930664,5.103909169152144
R7_kitchen_sink,0.5,1,anchor_R4_A00,0.8,24,30,34.568241119384766,7.205485971108912
R7_kitchen_sink,0.5,1,anchor_R4_A50,0.7666666666666667,23,30,27.77270126342773,7.637490810155742
R7_kitchen_sink,0.5,1,anchor_R7_A00,0.8333333333333334,25,30,35.52431869506836,7.580053696639973
R7_kitchen_sink,0.5,1,anchor_R7_A50,0.8,24,30,29.462337493896484,9.24059549368082
R7_kitchen_sink,0.5,1,own,1.0,30,30,14.60389804840088,4.659724291725792
R7_kitchen_sink,0.5,2,anchor_R4_A00,1.0,30,30,18.50737571716309,4.766342489902391
R7_kitchen_sink,0.5,2,anchor_R4_A50,1.0,30,30,20.649309158325195,5.046751258853033
R7_kitchen_sink,0.5,2,anchor_R7_A00,1.0,30,30,14.637502670288086,4.243198542503963
R7_kitchen_sink,0.5,2,anchor_R7_A50,1.0,30,30,19.71807098388672,5.541186171548976
R7_kitchen_sink,0.5,2,own,1.0,30,30,21.561750411987305,4.890455108165038
R7_kitchen_sink,0.5,3,anchor_R4_A00,1.0,30,30,26.32915496826172,5.520619675607544
R7_kitchen_sink,0.5,3,anchor_R4_A50,0.6333333333333333,19,30,43.90746688842773,5.555929532918941
R7_kitchen_sink,0.5,3,anchor_R7_A00,1.0,30,30,23.687395095825195,6.162732344837599
R7_kitchen_sink,0.5,3,anchor_R7_A50,1.0,30,30,20.295568466186523,6.917769891222303
R7_kitchen_sink,0.5,3,own,1.0,30,30,22.609663009643555,5.481102233205503
R7_kitchen_sink,0.5,4,anchor_R4_A00,0.6333333333333333,19,30,35.57086563110352,7.669535518118375
R7_kitchen_sink,0.5,4,anchor_R4_A50,0.2333333333333333,7,30,42.760215759277344,13.08868159042668
R7_kitchen_sink,0.5,4,anchor_R7_A00,0.9333333333333332,28,30,22.735950469970703,6.211754122253303
R7_kitchen_sink,0.5,4,anchor_R7_A50,0.2333333333333333,7,30,27.2520809173584,10.711040402677323
R7_kitchen_sink,0.5,4,own,0.8666666666666667,26,30,19.813615798950195,5.918248068914106
R7_kitchen_sink,0.5,5,anchor_R4_A00,1.0,30,30,15.745060920715332,4.205804566986504
R7_kitchen_sink,0.5,5,anchor_R4_A50,1.0,30,30,28.779970169067383,6.881603688525299
R7_kitchen_sink,0.5,5,anchor_R7_A00,1.0,30,30,20.0687255859375,5.115587849136589
R7_kitchen_sink,0.5,5,anchor_R7_A50,1.0,30,30,17.172649383544922,4.686072927046399
R7_kitchen_sink,0.5,5,own,1.0,30,30,12.84719467163086,4.511907203905647
R7_kitchen_sink,0.5,6,anchor_R4_A00,0.7666666666666667,23,30,30.983522415161133,5.832498632364578
R7_kitchen_sink,0.5,6,anchor_R4_A50,0.1666666666666666,5,30,42.11627578735352,17.12452127351458
R7_kitchen_sink,0.5,6,anchor_R7_A00,1.0,30,30,22.421875,5.71183771658636
R7_kitchen_sink,0.5,6,anchor_R7_A50,0.3,9,30,37.7454719543457,12.5444030857963
R7_kitchen_sink,0.5,6,own,0.8333333333333334,25,30,27.991334915161133,7.511209837056325
R7_kitchen_sink,0.5,7,anchor_R4_A00,0.9,27,30,32.101226806640625,6.927346982506596
R7_kitchen_sink,0.5,7,anchor_R4_A50,1.0,30,30,24.899452209472656,5.715617463400196
R7_kitchen_sink,0.5,7,anchor_R7_A00,1.0,30,30,22.10582733154297,6.235559507612225
R7_kitchen_sink,0.5,7,anchor_R7_A50,1.0,30,30,28.79231071472168,7.80701800954922
R7_kitchen_sink,0.5,7,own,1.0,30,30,17.12856101989746,5.036256698308935
R7_kitchen_sink,0.5,8,anchor_R4_A00,0.8666666666666667,26,30,30.683698654174805,5.788220321397287
R7_kitchen_sink,0.5,8,anchor_R4_A50,0.1,3,30,48.66706085205078,20.64657454096829
R7_kitchen_sink,0.5,8,anchor_R7_A00,0.9666666666666668,29,30,22.11320686340332,5.320962989704755
R7_kitchen_sink,0.5,8,anchor_R7_A50,0.0666666666666666,2,30,37.44342422485352,15.077774877230326
R7_kitchen_sink,0.5,8,own,0.0666666666666666,2,30,55.20398712158203,17.62237321281433
R7_kitchen_sink,0.05,0,anchor_R4_A00,0.9666666666666668,29,30,28.55758285522461,7.236383868971013
R7_kitchen_sink,0.05,0,anchor_R4_A50,1.0,30,30,16.64996910095215,4.32623314965265
R7_kitchen_sink,0.05,0,anchor_R7_A00,0.9,27,30,26.636484146118164,8.194810110490751
R7_kitchen_sink,0.05,0,anchor_R7_A50,1.0,30,30,26.83837509155273,7.359078728185489
R7_kitchen_sink,0.05,0,own,1.0,30,30,16.222185134887695,4.082747129002475
R7_kitchen_sink,0.05,1,anchor_R4_A00,0.7666666666666667,23,30,32.15977478027344,8.43886609889744
R7_kitchen_sink,0.05,1,anchor_R4_A50,1.0,30,30,15.082892417907717,4.073919226719373
R7_kitchen_sink,0.05,1,anchor_R7_A00,0.5666666666666667,17,30,36.08560562133789,10.392617112610637
R7_kitchen_sink,0.05,1,anchor_R7_A50,0.9333333333333332,28,30,24.248315811157227,7.447468364629013
R7_kitchen_sink,0.05,1,own,1.0,30,30,17.566579818725586,5.008966567502761
R7_kitchen_sink,0.05,2,anchor_R4_A00,0.1,3,30,45.24909591674805,19.560804800669352
R7_kitchen_sink,0.05,2,anchor_R4_A50,0.5333333333333333,16,30,32.33095932006836,7.547867572710909
R7_kitchen_sink,0.05,2,anchor_R7_A00,0.2,6,30,30.543113708496097,17.53448959120998
R7_kitchen_sink,0.05,2,anchor_R7_A50,0.0666666666666666,2,30,39.19098281860352,24.20180984751384
R7_kitchen_sink,0.05,2,own,0.2,6,30,41.00658798217773,17.349355083209495
R7_kitchen_sink,0.05,3,anchor_R4_A00,0.1666666666666666,5,30,41.54997253417969,16.8968097332931
R7_kitchen_sink,0.05,3,anchor_R4_A50,0.3,9,30,36.91731262207031,8.443333558463856
R7_kitchen_sink,0.05,3,anchor_R7_A00,0.0666666666666666,2,30,38.50523376464844,16.797372258895482
R7_kitchen_sink,0.05,3,anchor_R7_A50,0.0333333333333333,1,30,28.05039405822754,25.053207860628767
R7_kitchen_sink,0.05,3,own,0.9666666666666668,29,30,19.43967628479004,5.7985355411683805
R7_kitchen_sink,0.05,4,anchor_R4_A00,0.3666666666666666,11,30,36.99361801147461,11.290595665149086
R7_kitchen_sink,0.05,4,anchor_R4_A50,1.0,30,30,20.67219352722168,4.683529959353987
R7_kitchen_sink,0.05,4,anchor_R7_A00,0.3333333333333333,10,30,39.92457580566406,10.550572225584114
R7_kitchen_sink,0.05,4,anchor_R7_A50,0.5,15,30,33.61962127685547,10.701575787896314
R7_kitchen_sink,0.05,4,own,1.0,30,30,16.887523651123047,4.8847084519146815
R7_kitchen_sink,0.05,5,anchor_R4_A00,0.9333333333333332,28,30,25.659582138061523,5.224067642597015
R7_kitchen_sink,0.05,5,anchor_R4_A50,0.4333333333333333,13,30,30.69352912902832,10.013942448767995
R7_kitchen_sink,0.05,5,anchor_R7_A00,1.0,30,30,16.96609115600586,4.409772244616199
R7_kitchen_sink,0.05,5,anchor_R7_A50,0.2666666666666666,8,30,34.86064147949219,10.68033150274983
R7_kitchen_sink,0.05,5,own,1.0,30,30,18.0981502532959,4.516888462287257
R7_kitchen_sink,0.05,6,anchor_R4_A00,0.3666666666666666,11,30,41.33132553100586,9.35557268260592
R7_kitchen_sink,0.05,6,anchor_R4_A50,1.0,30,30,22.37630081176757,4.708883242178681
R7_kitchen_sink,0.05,6,anchor_R7_A00,0.2,6,30,38.30918884277344,10.758084332495024
R7_kitchen_sink,0.05,6,anchor_R7_A50,0.2666666666666666,8,30,34.68529510498047,10.431037247228875
R7_kitchen_sink,0.05,6,own,1.0,30,30,22.79377555847168,5.55889972682201
R7_kitchen_sink,0.05,7,anchor_R4_A00,1.0,30,30,24.93305397033692,6.634025787069194
R7_kitchen_sink,0.05,7,anchor_R4_A50,1.0,30,30,29.845867156982425,7.780981296705192
R7_kitchen_sink,0.05,7,anchor_R7_A00,1.0,30,30,24.01224708557129,6.8509673800251125
R7_kitchen_sink,0.05,7,anchor_R7_A50,1.0,30,30,19.790712356567383,4.845352436678106
R7_kitchen_sink,0.05,7,own,1.0,30,30,22.639986038208008,5.73521906202762
R7_kitchen_sink,0.05,8,anchor_R4_A00,0.0666666666666666,2,30,47.30550003051758,22.560895511282816
R7_kitchen_sink,0.05,8,anchor_R4_A50,1.0,30,30,25.13894462585449,5.085661505903302
R7_kitchen_sink,0.05,8,anchor_R7_A00,0.1333333333333333,4,30,34.91051483154297,21.52314708294692
R7_kitchen_sink,0.05,8,anchor_R7_A50,0.0666666666666666,2,30,38.52374649047852,23.62831561024984
R7_kitchen_sink,0.05,8,own,1.0,30,30,26.26541519165039,6.081919359544695
R7_kitchen_sink,0.05,9,anchor_R4_A00,0.1,3,30,47.16053771972656,7.960110454382719
R7_kitchen_sink,0.05,9,anchor_R4_A50,0.1,3,30,43.5794563293457,15.962444467600656
R7_kitchen_sink,0.05,9,anchor_R7_A00,0.1666666666666666,5,30,30.81595230102539,6.751334669832323
R7_kitchen_sink,0.05,9,anchor_R7_A50,0.1666666666666666,5,30,33.95979309082031,10.818486204105712
R7_kitchen_sink,0.05,9,own,0.2,6,30,42.84968566894531,6.991995877912472
R7_kitchen_sink,0.1,0,anchor_R4_A00,0.8333333333333334,25,30,37.43256759643555,7.846469751432751
R7_kitchen_sink,0.1,0,anchor_R4_A50,0.9666666666666668,29,30,26.02463722229004,6.908120366752724
R7_kitchen_sink,0.1,0,anchor_R7_A00,0.8666666666666667,26,30,30.73573875427246,8.062248024480308
R7_kitchen_sink,0.1,0,anchor_R7_A50,1.0,30,30,17.903169631958008,4.631077003006987
R7_kitchen_sink,0.1,0,own,1.0,30,30,19.45928955078125,5.460088490583528
R7_kitchen_sink,0.1,1,anchor_R4_A00,0.0666666666666666,2,30,44.98115539550781,22.63551318854301
R7_kitchen_sink,0.1,1,anchor_R4_A50,1.0,30,30,20.46264839172364,4.525722512238965
