hider_survival,hider_mean_steps,hider_path_len,hider_speed,hider_mean_dist,hider_frac_center,hider_frac_wall,reward,A,seed,probe
0.0,57.36666666666667,19.83072853088379,0.34793734741717963,5.5554953629252415,0.039135411880895,0.8481343107886681,R7_no_coverage,0.0,0,probe_R7_A00
0.9,180.56666666666666,35.530982971191406,0.21739077665692283,25.518415756800827,0.011666666666666665,0.9421666666666668,R7_no_coverage,0.0,0,probe_R4_A00
0.16666666666666663,98.06666666666666,25.35478973388672,0.2669714723694808,7.033235465991918,0.017490619145687013,0.9399188767442648,R7_no_coverage,0.0,1,probe_R7_A00
0.8,161.8,37.57698059082031,0.25356581757201574,18.918763988228996,0.018897435897435897,0.8951666666666667,R7_no_coverage,0.0,1,probe_R4_A00
0.09999999999999998,68.3,21.80160903930664,0.3342670541994603,5.600509639130603,0.04253956820530071,0.862908236401491,R7_no_coverage,0.0,2,probe_R7_A00
0.5666666666666667,127.63333333333334,24.304079055786133,0.24286029380467827,17.504880016197458,0.010780663780663781,0.9145839289909058,R7_no_coverage,0.0,2,probe_R4_A00
0.7666666666666666,158.53333333333333,39.76536178588867,0.2653521415491736,13.088126170525083,0.11216666666666668,0.7223333333333333,R7_no_coverage,0.0,3,probe_R7_A00
0.0,74.8,23.65021324157715,0.32350155411059317,5.586747426070932,0.030572292118910303,0.8516560268979254,R7_no_coverage,0.0,3,probe_R4_A00
0.09999999999999998,87.9,22.25399398803711,0.29440901634738936,6.551469159498522,0.029103371388163355,0.846768116224146,R7_no_coverage,0.0,4,probe_R7_A00
0.8666666666666667,174.63333333333333,27.286418914794922,0.18507397265506514,20.184032785589046,0.013333333333333334,0.9315,R7_no_coverage,0.0,4,probe_R4_A00
0.7,158.03333333333333,38.67212677001953,0.26291060023207696,13.885001084632977,0.025666666666666664,0.7965492241840556,R7_no_coverage,0.0,5,probe_R7_A00
0.0,57.0,18.20926856994629,0.3235603510778318,4.975665568820998,0.008226120857699805,0.9550830225654787,R7_no_coverage,0.0,5,probe_R4_A00
0.19999999999999996,76.73333333333333,20.734710693359375,0.2944359096525034,5.422372704807304,0.030217289979470274,0.8387066354819375,R7_no_coverage,0.0,6,probe_R7_A00
0.8,166.06666666666666,32.361724853515625,0.2071033383100761,20.613128976724493,0.006500000000000001,0.9601666666666666,R7_no_coverage,0.0,6,probe_R4_A00
0.5333333333333333,126.5,29.760099411010742,0.2572067887892564,8.205145696373496,0.03528571428571429,0.837145933014354,R7_no_coverage,0.0,7,probe_R7_A00
0.7,146.73333333333332,26.903255462646484,0.21841669902805416,17.549912608532292,0.020666666666666663,0.8676899224806202,R7_no_coverage,0.0,7,probe_R4_A00
0.033333333333333326,40.93333333333333,13.415318489074707,0.3518297208593598,4.51178261473527,0.01878527763756966,0.9313749141592944,R7_no_coverage,0.0,8,probe_R7_A00
0.9,181.46666666666667,29.73283576965332,0.1717100683337166,25.449421398788534,0.011333333333333334,0.9653333333333333,R7_no_coverage,0.0,8,probe_R4_A00
0.0,43.9,15.483373641967773,0.35043860994056586,4.323096760750144,0.003647586980920314,0.8963859869604481,R7_no_coverage,0.0,9,probe_R7_A00
0.8666666666666667,174.06666666666666,30.196441650390625,0.19689479125870601,24.700648377902926,0.0055000000000000005,0.9478333333333334,R7_no_coverage,0.0,9,probe_R4_A00
0.6666666666666667,155.1,33.79972839355469,0.24045755992981077,13.630278303549513,0.07183333333333333,0.8044277788684568,R7_no_coverage,0.5,0,probe_R7_A00
0.033333333333333326,63.36666666666667,20.53093719482422,0.3344318738922119,6.0089469035245475,0.046558005451705776,0.8652258677106862,R7_no_coverage,0.5,0,probe_R4_A00
0.6,126.96666666666667,28.78187370300293,0.2663717131010882,10.226800708594743,0.10619047619047618,0.7323333333333333,R7_no_coverage,0.5,1,probe_R7_A00
0.033333333333333326,86.4,26.151533126831055,0.31461286965714547,6.295387336041059,0.05277438746726301,0.8152250100856246,R7_no_coverage,0.5,1,probe_R4_A00
0.2666666666666667,127.63333333333334,32.9686164855957,0.2775412652475986,9.64209779217982,0.015898224717512822,0.9009109449709197,R7_no_coverage,0.5,2,probe_R7_A00
0.9333333333333333,187.3,32.07358932495117,0.1833006172433044,22.40714113772999,0.0015,0.9738333333333332,R7_no_coverage,0.5,2,probe_R4_A00
0.0,54.63333333333333,19.093114852905273,0.35108111543034626,4.9948018281297575,0.01943683453385127,0.8931407384210146,R7_no_coverage,0.5,3,probe_R7_A00
0.9,180.76666666666668,40.67003631591797,0.23156417667323892,21.95935495574547,0.009666666666666665,0.9311060606060606,R7_no_coverage,0.5,3,probe_R4_A00
0.0,34.5,11.651386260986328,0.3409514802319996,4.057609576931316,0.05407103112502174,0.8496006847045469,R7_no_coverage,0.5,4,probe_R7_A00
0.8,161.96666666666667,36.37586975097656,0.2477130351899162,21.70288047572545,0.012333333333333333,0.9596666666666667,R7_no_coverage,0.5,4,probe_R4_A00
0.0,39.93333333333333,13.789155960083008,0.3495884901894067,4.594649032766542,0.08189905312387372,0.8328170504894914,R7_no_cov_urg,0.0,0,probe_R7_A00
0.8666666666666667,174.16666666666666,37.27341079711914,0.22050832490245162,23.535340568321047,0.007000000000000001,0.9628333333333334,R7_no_cov_urg,0.0,0,probe_R4_A00
0.7666666666666666,155.76666666666668,36.07238006591797,0.2584289341710862,13.995500997066499,0.10683333333333334,0.7778333333333334,R7_no_cov_urg,0.0,1,probe_R7_A00
0.0,68.13333333333334,22.546998977661133,0.34064863243230714,5.282059504288985,0.024302359127144808,0.9298011020049709,R7_no_cov_urg,0.0,1,probe_R4_A00
0.7666666666666666,166.53333333333333,42.13435745239258,0.2733972928711974,11.561696387245322,0.026500000000000006,0.7848394881081613,R7_no_cov_urg,0.0,2,probe_R7_A00
0.7333333333333334,156.63333333333333,38.74076461791992,0.2677932587833673,15.842224552057003,0.012333333333333335,0.9624569892473119,R7_no_cov_urg,0.0,2,probe_R4_A00
0.0,56.8,19.884151458740234,0.3507568556855198,5.248659593178697,0.05620360017919828,0.8171777178689995,R7_no_cov_urg,0.0,3,probe_R7_A00
0.9,180.83333333333334,38.90011215209961,0.23181288437048592,25.91092893759409,0.006333333333333333,0.9516666666666667,R7_no_cov_urg,0.0,3,probe_R4_A00
0.6,135.2,28.391260147094727,0.25156861305638195,7.997293634531646,0.02,0.8482777777777778,R7_no_cov_urg,0.0,4,probe_R7_A00
0.8333333333333334,167.46666666666667,31.364410400390625,0.20407090449333193,20.857025513172154,0.0105,0.926,R7_no_cov_urg,0.0,4,probe_R4_A00
0.16666666666666663,82.16666666666667,21.442535400390625,0.2805196624566897,6.188181157548638,0.005298245614035088,0.8983953650973795,R7_no_cov_urg,0.0,5,probe_R7_A00
0.6,134.2,28.94029426574707,0.2502661641067949,14.483992841657914,0.0035000000000000005,0.9330864601945603,R7_no_cov_urg,0.0,5,probe_R4_A00
0.16666666666666663,131.86666666666667,30.59880256652832,0.24855484614083453,10.050559589485996,0.013054670810399889,0.9335501673482457,R7_no_cov_urg,0.0,6,probe_R7_A00
0.7666666666666666,158.26666666666668,40.62599182128906,0.2814322853421332,18.64689425054756,0.0055000000000000005,0.966648148148148,R7_no_cov_urg,0.0,6,probe_R4_A00
0.7333333333333334,163.9,36.712646484375,0.23324672322940923,14.778120897488815,0.03416666666666667,0.8317222222222221,R7_no_cov_urg,0.0,7,probe_R7_A00
0.0,76.36666666666666,24.14653968811035,0.32310593670095056,5.357551611520429,0.025957602774962632,0.9092367149785276,R7_no_cov_urg,0.0,7,probe_R4_A00
0.7333333333333334,167.16666666666666,41.31097412109375,0.26662519604050633,12.459091563654859,0.03874074074074074,0.8180263157894735,R7_no_cov_urg,0.0,8,probe_R7_A00
0.0,64.46666666666667,20.932838439941406,0.3413220042970024,5.424426281344105,0.01589832520060041,0.8835489383686839,R7_no_cov_urg,0.0,8,probe_R4_A00
0.0,59.666666666666664,21.229333877563477,0.3539877221112215,4.719185529749029,0.07507924364946447,0.7949276490537943,R7_no_cov_urg,0.0,9,probe_R7_A00
0.9333333333333333,186.93333333333334,37.87312316894531,0.21138894678865164,25.71446242418743,0.0036666666666666666,0.9721666666666666,R7_no_cov_urg,0.0,9,probe_R4_A00
