update,timesteps,episodes,seeker_reward_mean,seeker_reward_std,hider_reward_mean,hider_reward_std,episode_length_mean,seeker_win_rate,hider_win_rate,seeker_policy_loss,seeker_value_loss,hider_policy_loss,hider_value_loss,fps
120,1966080,19213,4.039747,8.093055,0.7424848,9.956988,127.32994526974198,0.6395621579358874,0.3604378420641126,-0.011156893335282803,0.3154573440551758,-0.03429676592350006,0.4587520360946655,1506.6992318964085
130,2129920,20547,4.6779165,7.8743677,-0.12728642,9.581694,123.88380809595202,0.6761619190404797,0.3238380809595202,-0.027532927691936493,0.29681769013404846,-0.035314418375492096,0.44987401366233826,1347.1629932142462
140,2293760,21992,5.9442973,7.2628,-1.8436937,8.810008,113.13702422145329,0.7501730103806228,0.24982698961937716,-0.02953617461025715,0.3095596730709076,-0.03151204437017441,0.4349970817565918,1268.9407404646372
150,2457600,23539,7.0952787,6.4671,-3.1424835,7.8976955,106.04201680672269,0.8190045248868778,0.18099547511312217,-0.028411684557795525,0.30518507957458496,-0.03605273365974426,0.43375253677368164,1240.7965867081355
160,2621440,24912,5.999796,7.2088904,-1.6334282,8.655013,118.60160233066279,0.7552804078659869,0.24471959213401312,-0.030368845909833908,0.28065499663352966,-0.035597626119852066,0.424003005027771,1206.6040103258176
170,2785280,26251,5.419244,7.519652,-0.83464926,9.120085,122.70873786407768,0.7206870799103808,0.2793129200896191,-0.027362240478396416,0.2951987385749817,-0.03258824720978737,0.4323000907897949,1194.3792853226983
180,2949120,27716,6.700398,6.7535973,-2.546206,8.235788,112.04300341296928,0.7959044368600683,0.20409556313993174,-0.027771927416324615,0.3025880455970764,-0.033432699739933014,0.4489120841026306,1223.6909135717322
190,3112960,29147,6.0430937,7.1908846,-1.8529636,8.736728,114.99440950384347,0.7568134171907757,0.2431865828092243,-0.024672888219356537,0.28963127732276917,-0.0317828506231308,0.4306178390979767,1247.8022726469198
200,3276800,30631,7.1782913,6.3483467,-3.1641302,7.7766023,110.06671159029649,0.8254716981132075,0.17452830188679244,-0.022555485367774963,0.3154914379119873,-0.03372752666473389,0.4727340340614319,1271.3104758791271
210,3440640,32128,6.7907476,6.6959786,-2.801221,8.178042,109.499665998664,0.800935203740815,0.19906479625918505,-0.027471402660012245,0.274674654006958,-0.030671991407871246,0.42297106981277466,1294.0112359718826
220,3604480,33770,7.842158,5.7601023,-4.027676,7.121968,100.70158343483557,0.8629719853836785,0.13702801461632155,-0.026695387437939644,0.3268033266067505,-0.0347398966550827,0.48635244369506836,1315.6804335115937
230,3768320,35309,7.4519205,6.12547,-3.4673915,7.523448,106.17478882391163,0.8408057179987004,0.15919428200129954,-0.025593634694814682,0.29524317383766174,-0.03463950753211975,0.4576202630996704,1334.5058025663213
240,3932160,36959,8.020377,5.5488873,-4.1694536,6.878579,100.25515151515151,0.8745454545454545,0.12545454545454546,-0.029797902330756187,0.34612518548965454,-0.034605368971824646,0.5048279762268066,1354.7681061426192
250,4096000,38538,8.001977,5.5674987,-3.9351728,6.9168096,103.75807473084231,0.8739708676377455,0.1260291323622546,-0.03043726645410061,0.3092023730278015,-0.03310544416308403,0.48673009872436523,1374.5634579044333
260,4259840,40184,8.380044,5.113746,-4.496123,6.3788466,100.30072904009721,0.8961117861482382,0.10388821385176185,-0.03037782572209835,0.3421575129032135,-0.03365020453929901,0.49953222274780273,1387.873735658252
270,4423680,41821,8.170189,5.397762,-4.3955293,6.636276,98.77275503970678,0.8827122785583384,0.11728772144166158,-0.017744367942214012,0.2882961928844452,-0.0331646166741848,0.4274725019931793,1401.382103829388
280,4587520,43536,8.734433,4.6390944,-5.1005893,5.7810607,95.20874635568514,0.9166180758017493,0.08338192419825073,-0.027966322377324104,0.2861579954624176,-0.013251636177301407,0.423157274723053,1419.3001641286764
290,4751360,45292,8.65358,4.7714534,-5.028181,5.951324,94.5620728929385,0.9111617312072893,0.0888382687927107,-0.031970515847206116,0.3177042305469513,-0.03246559947729111,0.4356769025325775,1433.9281159572463
300,4915200,47008,8.579027,4.8632417,-4.935227,6.0144596,95.22902097902097,0.9067599067599068,0.09324009324009325,-0.026575222611427307,0.28935593366622925,-0.03072326071560383,0.4527395963668823,1445.617342975399
306,5013504,48027,8.552316,4.875939,-4.9002066,5.9541135,96.78508341511285,0.9057899901864573,0.09421000981354269,-0.030969534069299698,0.3199552595615387,-0.03374798223376274,0.4375864863395691,1454.564636062795
